episode,score,max_reward,max_tile
906,1016,20.81622896194458,128
907,692,21.587534618377685,64
908,1268,22.181780576705933,128
909,548,22.98030619621277,64
910,1248,23.92650098800659,128
911,608,21.259050989151,64
912,1112,24.835518980026244,128
913,1220,21.411684846878053,128
914,1312,23.156259202957152,128
915,468,20.932562398910523,64
916,700,22.300513982772827,64
917,564,23.58495125770569,64
918,1296,23.283136129379272,128
919,760,19.792789649963378,64
920,2296,23.631585931777956,256
921,428,18.594772481918334,32
922,536,22.046931123733522,64
923,2072,22.746120667457582,256
924,664,24.006864643096925,64
925,1044,21.469457864761353,128
926,1260,22.18483238220215,128
927,556,23.870588874816896,64
928,840,21.647036027908324,64
929,1224,22.62828435897827,128
930,932,21.30983395576477,128
931,1172,21.543406391143797,128
932,1620,22.573487186431883,128
933,852,23.63408555984497,64
934,432,22.627119302749634,64
935,1312,22.805795192718506,128
936,596,22.160077381134034,64
937,1228,25.618172931671143,128
938,1188,22.39654321670532,128
939,1096,21.505403327941895,64
940,624,20.519071769714355,64
941,1896,24.957749795913696,256
942,1044,22.057543087005616,128
943,1304,24.949284648895265,128
944,832,21.74991250038147,64
945,1320,24.830496549606323,128
946,1256,22.473601007461546,128
947,124,20.354991340637206,16
948,1800,23.70899305343628,256
949,1376,22.996762180328368,128
950,1180,23.164072847366334,128
951,1260,24.517677068710327,128
952,252,20.962095022201538,32
953,1212,22.23473482131958,128
954,1912,24.064882850646974,128
955,1288,23.482534885406494,128
956,604,24.178106689453124,64
957,1156,21.552212715148926,128
958,844,22.19453558921814,128
959,1608,23.73289260864258,128
960,1204,21.720845222473145,128
961,564,21.525258255004882,64
962,828,21.824102115631103,64
963,1380,22.07841305732727,128
964,1432,21.918138694763183,128
965,1244,22.17806496620178,128
